train-seats number-passengers partition-boarding boarding-in-lines boarding-behaviour
 "lines" 50 25 0 "mixed" 
counter-boarding-inside counter-boarding-finished counter-alighting-outside counter-alighting-finished ticks
 9 17 5 13 19 
 11 18 5 13 20 
 14 20 5 13 22 
 14 22 5 13 24 
 14 20 5 13 22 
 11 21 5 13 23 
 15 21 5 13 23 
 13 20 5 13 22 
 14 21 5 13 23 
 13 23 5 13 25 
 11 18 5 13 20 
 11 17 5 13 19 
 12 19 5 13 21 
 12 22 5 13 24 
 11 18 5 13 20 
 15 22 5 13 24 
 13 19 5 13 21 
 14 21 5 13 23 
 12 20 5 13 22 
 12 20 5 13 22 
 11 21 5 13 23 
 14 21 5 13 23 
 14 20 5 13 22 
 15 20 5 13 22 
 12 19 5 13 21 
 13 20 5 13 22 
 12 17 5 13 19 
 16 22 5 13 24 
 13 20 5 13 22 
 10 17 5 13 19 
 15 22 5 13 24 
 10 20 5 13 22 
 16 23 5 13 25 
 14 21 5 13 23 
 17 24 5 13 26 
 14 20 5 13 22 
 11 18 5 13 20 
 14 21 5 13 23 
 13 20 5 13 22 
 12 19 5 13 21 
 14 19 5 13 21 
 10 17 5 13 19 
 13 21 5 13 23 
 13 19 5 13 21 
 13 18 5 13 20 
 11 19 5 13 21 
 12 18 5 13 20 
 15 21 5 13 23 
 15 22 5 13 24 
 14 19 5 13 21 
 13 20 5 13 22 
 10 17 5 13 19 
 10 17 5 13 19 
 11 18 5 13 20 
 12 18 5 13 20 
 13 21 5 13 23 
 13 20 5 13 22 
 12 18 5 13 20 
 11 20 5 13 22 
 14 20 5 13 22 
 13 20 5 13 22 
 14 23 5 13 25 
 12 20 5 13 22 
 11 18 5 13 20 
 12 22 5 13 24 
 10 17 5 13 19 
 12 19 5 13 21 
 13 20 5 13 22 
 17 23 5 13 25 
 17 21 5 13 23 
 11 18 5 13 20 
 12 19 5 13 21 
 13 21 5 13 23 
 11 21 5 13 23 
 12 18 5 13 20 
 14 21 5 13 23 
 14 22 5 13 24 
 14 18 5 13 20 
 11 18 5 13 20 
 13 19 5 13 21 
 12 18 5 13 20 
 16 22 5 13 24 
 11 21 5 13 23 
 13 19 5 13 21 
 12 18 5 13 20 
 15 22 5 13 24 
 11 18 5 13 20 
 12 19 5 13 21 
 12 20 5 13 22 
 16 21 5 13 23 
 15 21 5 13 23 
 14 20 5 13 22 
 13 20 5 13 22 
 13 20 5 13 22 
 13 19 5 13 21 
 12 19 4 12 21 
 16 22 5 13 24 
 13 19 5 13 21 
 13 20 5 13 22 
 10 16 5 13 18 
